Kernel,Iteration,Reward.Mean,Reward.Std,Success.Mean,Success.Std,Turns.Mean,Turns.Std
Gaussian (p=4;l=2),9,6.37,1.81,71.0,8.89,7.83,0.71
Gaussian (p=4;l=2),10,7.29,1.66,74.0,8.6,7.51,0.69
Gaussian (p=4;l=3),1,1.03,2.14,46.0,9.77,8.17,0.71
Gaussian (p=4;l=3),2,4.0,1.87,64.0,9.41,8.8,0.77
Gaussian (p=4;l=3),3,4.54,1.99,63.0,9.46,8.06,0.91
Gaussian (p=4;l=3),4,4.23,2.01,66.0,9.28,8.97,0.96
Gaussian (p=4;l=3),5,5.23,1.97,71.0,8.89,8.97,1.08
Gaussian (p=4;l=3),6,5.52,1.87,74.0,8.6,9.28,0.95
Gaussian (p=4;l=3),7,3.93,2.46,66.0,9.28,9.27,1.26
Gaussian (p=4;l=3),8,5.21,2.06,66.0,9.28,7.99,0.86
Gaussian (p=4;l=3),9,4.34,2.03,62.0,9.51,8.06,0.97
Gaussian (p=4;l=3),10,5.94,1.78,71.0,8.89,8.26,1.01
Gaussian (p=5;l=2),1,-1.91,2.23,42.0,9.67,10.31,1.09
Gaussian (p=5;l=2),2,-2.08,1.95,40.0,9.6,10.08,1.14
Gaussian (p=5;l=2),3,3.37,2.07,60.0,9.6,8.63,0.89
Gaussian (p=5;l=2),4,3.74,2.09,59.0,9.64,8.06,0.89
Gaussian (p=5;l=2),5,1.66,1.92,47.0,9.78,7.74,0.88
Gaussian (p=5;l=2),6,5.95,1.76,68.0,9.14,7.65,0.67
Gaussian (p=5;l=2),7,6.6,1.79,66.0,9.28,6.6,0.6
Gaussian (p=5;l=2),8,5.68,1.88,69.0,9.06,8.12,0.77
Gaussian (p=5;l=2),9,6.75,1.81,74.0,8.6,8.05,0.8
Gaussian (p=5;l=2),10,5.49,1.88,63.0,9.46,7.11,0.74
Gaussian (p=5;l=3),1,4.08,1.9,62.0,9.51,8.32,0.8
Gaussian (p=5;l=3),2,2.12,1.98,52.0,9.79,8.28,0.76
Gaussian (p=5;l=3),3,4.93,1.95,65.0,9.35,8.07,0.84
Gaussian (p=5;l=3),4,6.0,1.91,71.0,8.89,8.2,0.69
Gaussian (p=5;l=3),5,5.93,1.8,72.0,8.8,8.47,0.84
Gaussian (p=5;l=3),6,5.35,1.88,68.0,9.14,8.25,0.72
Gaussian (p=5;l=3),7,5.09,1.95,65.0,9.35,7.91,0.76
Gaussian (p=5;l=3),8,6.68,1.87,75.0,8.49,8.32,0.84
Gaussian (p=5;l=3),9,5.08,1.87,69.0,9.06,8.72,0.81
Gaussian (p=5;l=3),10,5.55,1.86,67.0,9.22,7.85,0.81
