Kernel,Iteration,Reward.Mean,Reward.Std,Success.Mean,Success.Std,Turns.Mean,Turns.Std
Gaussian (p=4;l=3),10,7.11,1.7,74.0,8.6,7.69,0.82
Gaussian (p=5;l=3),1,0.94,2.04,44.0,9.73,7.86,0.85
Gaussian (p=5;l=3),2,2.46,1.97,57.0,9.7,8.94,0.92
Gaussian (p=5;l=3),3,4.71,1.88,57.0,9.7,6.69,0.6
Gaussian (p=5;l=3),4,4.28,2.02,61.0,9.56,7.92,0.81
Gaussian (p=5;l=3),5,5.39,1.79,66.0,9.28,7.81,0.78
Gaussian (p=5;l=3),6,5.45,2.03,68.0,9.14,8.15,0.84
Gaussian (p=5;l=3),7,4.87,1.84,64.0,9.41,7.93,0.8
Gaussian (p=5;l=3),8,4.87,2.07,70.0,8.98,9.13,1.0
Gaussian (p=5;l=3),9,4.23,1.91,61.0,9.56,7.97,0.71
Gaussian (p=5;l=3),10,5.41,1.75,69.0,9.06,8.39,0.94
Gaussian (p=2;l=4),1,2.07,2.02,48.0,9.79,7.53,0.71
Gaussian (p=2;l=4),2,2.5,1.99,55.0,9.75,8.5,0.83
Gaussian (p=2;l=4),3,4.57,1.9,64.0,9.41,8.23,0.87
Gaussian (p=2;l=4),4,4.18,2.01,60.0,9.6,7.82,0.71
Gaussian (p=2;l=4),5,5.98,1.83,73.0,8.7,8.62,0.9
Gaussian (p=2;l=4),6,4.39,2.05,63.0,9.46,8.21,0.73
Gaussian (p=2;l=4),7,6.6,1.89,74.0,8.6,8.2,0.8
Gaussian (p=2;l=4),8,7.23,1.73,75.0,8.49,7.77,0.66
Gaussian (p=2;l=4),9,6.3,1.84,71.0,8.89,7.9,0.63
Gaussian (p=2;l=4),10,7.32,1.75,72.0,8.8,7.08,0.61
Gaussian (p=3;l=4),1,--,--,--,--,--,--
Gaussian (p=3;l=4),2,--,--,--,--,--,--
Gaussian (p=3;l=4),3,--,--,--,--,--,--
Gaussian (p=3;l=4),4,--,--,--,--,--,--
Gaussian (p=3;l=4),5,--,--,--,--,--,--
Gaussian (p=3;l=4),6,--,--,--,--,--,--
Gaussian (p=3;l=4),7,--,--,--,--,--,--
Gaussian (p=3;l=4),8,--,--,--,--,--,--
Gaussian (p=3;l=4),9,--,--,--,--,--,--
Gaussian (p=3;l=4),10,--,--,--,--,--,--
Gaussian (p=4;l=4),1,--,--,--,--,--,--
Gaussian (p=4;l=4),2,--,--,--,--,--,--
Gaussian (p=4;l=4),3,--,--,--,--,--,--
Gaussian (p=4;l=4),4,--,--,--,--,--,--
Gaussian (p=4;l=4),5,--,--,--,--,--,--
Gaussian (p=4;l=4),6,--,--,--,--,--,--
Gaussian (p=4;l=4),7,--,--,--,--,--,--
Gaussian (p=4;l=4),8,--,--,--,--,--,--
Gaussian (p=4;l=4),9,--,--,--,--,--,--
Gaussian (p=4;l=4),10,--,--,--,--,--,--
Gaussian (p=5;l=4),1,-6.7,2.4,30.0,8.98,12.7,1.58
Gaussian (p=5;l=4),2,-6.63,2.18,36.0,9.41,13.83,1.41
Gaussian (p=5;l=4),3,-4.18,2.54,41.0,9.64,12.38,1.54
Gaussian (p=5;l=4),4,-6.56,2.29,36.0,9.41,13.76,1.43
Gaussian (p=5;l=4),5,-5.79,2.48,42.0,9.67,14.19,1.65
Gaussian (p=5;l=4),6,-5.45,2.34,35.0,9.35,12.45,1.39
Gaussian (p=5;l=4),7,-4.63,2.18,41.0,9.64,12.83,1.33
Gaussian (p=5;l=4),8,-4.86,2.28,40.0,9.6,12.86,1.39
Gaussian (p=5;l=4),9,-3.23,2.2,47.0,9.78,12.63,1.44
Gaussian (p=5;l=4),10,-2.25,2.21,46.0,9.77,11.45,1.26
Linear (sigma=5),1,-5.6,2.33,39.0,9.56,13.4,1.51
Linear (sigma=5),2,-5.97,2.33,42.0,9.67,14.37,1.39
Linear (sigma=5),3,-3.35,2.15,46.0,9.77,12.55,1.41
Linear (sigma=5),4,-4.57,2.43,42.0,9.67,12.97,1.38
Linear (sigma=5),5,-1.97,1.94,47.0,9.78,11.37,1.23
Linear (sigma=5),6,-3.11,2.39,50.0,9.8,13.11,1.36
Linear (sigma=5),7,-3.82,2.32,41.0,9.64,12.02,1.33
Linear (sigma=5),8,-2.66,2.33,55.0,9.75,13.66,1.54
Linear (sigma=5),9,-3.72,2.2,43.0,9.7,12.32,1.45
